Influence;MC;Wer war unmittelbar vor Gerald Ford US-Präsident?;Richard Nixon;John F. Kennedy;Jimmy Carter;Harry S. Truman;
Computers;MC;Welches der folgenden Unternehmen ist eine Größe bei Smartphone-Spielen?;Rovio;Id Software;Oracale;3D Realms;
Computers;MC;Wie heißt Microsofts erste Videospiel-Konsole?;XBox;Playstation;Gamecube;Dreamcast;
Computers;MC;Wovon ernähren sich die Goronen in "The Legend of Zelda" hauptsächlich?;Steine;Sonnenenergie;Planzen;Fische;
Sports;MC;Welches NBA Team gewann in der Saison 13/14 die NBA Playoffs?;San Antonio Spurs;Miami Heat;LA Clippers;Golden State Warriors;
Sports;MC;Wer wurde 1976 Formel 1 Weltmeister?;James Hunt;Niki Lauda;Jody Scheckter;Alain Prost;
Sports;MC;Wer hat 2014 den Super Bowl gewonnen?;Seattle Seahawks;Denver Broncos;New York Giants;Rockland Raiders;
Computers;MC;Was bedeutet der Name der Automarke Volvo?;"ich rolle";"wir fahren";"ich lebe";"steig ein";
Computers;MC;Wann wurde das Space Shuttle Programm der NASA (STS) eingestellt?;2011;2007;2001;2013;
Computers;MC;Was bedeutet die Abkürzung des US-Amerikanischen Chip-Herstellers 'AMD'?;Advanced Micro Devices;All Material Devices;Alternative Micro Devices;Advanced Master Device;
Sports;MC;Für was ist Mirko "Cro Cop" Filipovic bekannt?;Left High Kick;Headbutt;Bodyslam;Jumping Knee;
Sports;MC;Wie oft hat Luiz Suarez einen anderen Spieler gebissen?;3;2;5;4;
Sports;MC;Was passiert bei einem "Gogoplata"?;Man würgt seinen Gegner mit dem Fuß;Man tantzt;Man macht einen einbeinigen Salto;Man motiviert sich selber;
History;MC;Wann war die Kubakrise?;1962;1961;1964;1972;
History;MC;Was bedeutet die Abkürzung UdSSR?;Union der Sozialistischen Sovietrepublik;Union der SozialSozialistischen Rechten;Union der Sozial Sozialistischen Regierung;Judenland;
Society;MC;Welches Land hat nach Indien die weltweit Zweitgrößte Filindustrie?;Nigeria;USA;Ägypten;Dubai;
Sports;MC;Welche Tennispielerin gewann als erste Deutsche das Turnier von Wimbledon?;Cilly Aussern;Steffi Graf;Andrea Jaeger;Anke Huber;
Sports;ES;Wie viele Löcher darf eine Bowlingkugel laut Reglement maximal haben?;12;
Religion;MC;Der griechische Gott Apollo ist der Sohn von Zeus und ...?;Leto;Aphrodite;Dione;Hera;
Influence;MC;Wie lautet die Bezeichnung eines Wappens, das in Deutschland nur von Bundesbehörden verwendet werden darf?;Bundesschild;Bundessiegel;Bundeswappen;Bundesadler;
Influence;MC;Wie hieß die Vorgängerinstitution des Bundesministeriums für Verteidigung der Bundesrepublik Deutschland?;Amt Blank;Wehrmacht;Amt für Wehrfragen;Reichswehr;
Influence;MC;Wer schmückt den amerikanischen 10-Dollar-Schein?;Alexander Hamilton;Abraham Lincoln;Andrew Jackson;Thomas Jefferson;
Society;MC;Im Oktober 2001 wurden Briefe mit einer tödlichen Krankheit in den USA verschickt. Wie hieß die Krankheit?;Milzbrand;Cholera;Hepatitis B;Creutzfeldt-Jakob-Krankheit;
Science;MC;Was haben Jupiter, Saturn, Uranus und Neptun gemeinsam?;Gasriesen;Der sonne am nächsten;Enthalten Spuren von Leben;Größer als die Sonne;
Science;MC;Welche Aussage über Antiteilchen und deren Bezug zu den zugehörigen normalen Teilchen ist Richtig?;Gleiche Masse, Konträre Ladung;Doppelte Masse, Gleiche Ladung;Kein Unterschied zwischen beiden;Halbe Masse, Doppelte Ladung;
Science;MC;Wie viel des Elements Astat befindet sich in der Erdkruste?;28 g;28 kg;28 t;280 000 t;
Science;ES;Wie viele Dezimeter ergeben einen Meter?;10;
Science;MC;Welche Kraft gibt dem Wind seine maximale Beschleunigung?;Druckgradientkraft;Gravitationskraft;Corioliskraft;Reibungskraft;
Science;MC;Welches Elementsymbol hat Stickstoff im Periodensystem?;N;K;H;O;
Science;MC;Wie nennt man die Beziehung zwischen einem magnetischen Fluss und der Stromstärke?;Induktivität;Imversanz;Innerstanz;Impedanz;
Science;MC;Was wiegt in etwa 1 Kilogramm?;Ein Liter Wasser;Ein halber Liter Gold;Ein Deziliter flüssiges Blei;9 mg Aluminium;
Science;MC;Welcher Planet hat das gleiche Symbol wie das Zeichen für "männlich" oder "Mann"?;Mars;Saturn;Merkur;Jupiter;
Science;MC;Was fiel Isaac Newton der Legende nach auf den Kopf, woraufhin er den Prozess der Schwerkraft entdeckte?;Ein Apfel;Ein Dachziegel;Eine Kröte;Eine Birne;
Science;MC;Welcher Planet unseres Sonnensystems hat die deutlich sichtbarsten "Ringe"?;Saturn;Jupiter;Uranus;Neptun;
Science;ES;Wie heiß ist es auf der Oberfläche der Sonne ungefähr (in °C)?;6000;
Science;MC;Wer war Carl Friedrich Gauß?;ein Mathematiker;ein Biologe;ein Physiker;ein Chemiker;
Sports;MC;Welcher Ball ist klein, weiß und glatt?;Tichtennisball;Volleyball;Golfball;Eierball;
Sports;MC;Womit beginnt ein Fußballspiel?;Anstoß;Freistoß;Elfmeter;Einwurf;
Sports;MC;Womit beginnt ein Basketballspiel?;Sprungball;Anstoß;Freiwurf;Einwurf;
Science;ES;Wie hoch ist der Anteil an Sauerstoff in der Luft (in Prozent)?;21;
Science;ES;Wie hoch ist der Anteil an Stickstoff in der Luft (in Prozent)?;78;
Science;ES;Wie hoch ist der Anteil an Kohlenstoffdioxid (CO2) in der Luft (in Prozent)?;0.04;
